ITEM_NUMBER,DESCRIPTION
2008684,HOODYS HONEY MIXED NUTS
440493,KS CASHEW CLUSTERS 32 OZ
1209607,KS PRALINE PECANS 40OZ
2025074,TAJIN CRUNCHY PEANUTS
1732802,KS SWEET HEAT SNACK MIX
1474436,KS TRAIL MIX 64 OZ/1.81KG
1944139,MAJANS BHUJA ORIGINAL MIX
690033,SAV ORCHARDS HRN MX 30 OZ
114171,SAVANNA ORCH HRN MXD NUTS
1669805,WLDROOT CSTL 12/1.75OZ
560519,WLDROOT CSTL BRY TRLMX
194859,AIRHEADS 90CT GRAVITY
1943004,AIRHEADS SOUR ASST. 90CT
84086,ANDES MINTS 240CT 2.5#
3869,CHARMS BLOWPOPS 100CT
1872607,CHARMS MINI POPS 350CT
468745,E FRUTTI MINI BURGER 60CT
3378,E FRUTTI PIZZA 48CT
455624,JOLLY RNCHR LOLLI 100/.56
90276,PEARSON MINT PATTIE 4LB
674156,PEARSON'S SALTED NUT ROLL
958612,RED VINE JAR 5.5#
108920,REDVINES MOVIE PK 12/5OZ
42600,REESES MINI PBC 105/.31OZ
1351657,SR PNCH TWST 180CT/3.90LB
1878599,STARBURST POPS 100 CT
2571,TOOTSIE POP FUN FLVR
43538,TOOTSIE ROLL JAR  8/280CT
445363,YORK PEP PATTIES 175 CT
1374674,BEQUET CELTIC SS CARAMELS
1992799,DUBAI CHOCOLATE BARS 16Z
521658,FERRERO ROCHER 21.2Z 48CT
1729244,HARIBO GOLD BEARS 125CT
401993,HERSHEY KISSES 56 OZ
401980,HERSHEY MINIS 56Z(YELLOW)
401621,HERSHEY NUGGETS AST 52OZ
1353251,HI CHEW 30OZ BAG
716424,JOLLY RANCHER 80OZ SUP
1919858,KS FAVORITES BAG 90 OZ
1481907,KS FUNHOUSE TREATS 92 OZ
1644605,LINDOR GLD 50C 5FLVR 21.2
1957384,MARS MINIS CHOCOLATE VTY
1700118,PEANUT BUTTER CUP 30 CT
1324466,STARBURST ORIGNAL 54Z JAR
722566,SWEETS CH CINN BEARS 2.65
1835280,TOBLERONE NOUGAT
42278,TOOTSIE MIDGEES 760CT BAG
1865877,UNREAL DARK CHOCOLATE
1268728,UNREAL DC COCONUT MINIS
1158668,UTAH MINT TRUFFLES
1903428,WERTHER'S ORIGINAL
486540,BROOKSIDE DC ACAI BLUBRY
2335,DILETTANTE ESPRESSO BEANS
1336073,JB HOT TAMALES 54 OZ
1321259,JB MIKE + IKE 54OZ
1199868,M+M JAR MILK CHOC 62OZ
1199479,M+M JAR PEANUT 62OZ
1301275,M+M JAR PEANUT BUTTER 55Z
1924530,REESE'S PIECES VTY
607021,SANDERS DC SSALT CRML 36Z
1311391,SKITTLES JAR 54OZ
119797,SWEDISH FISH RED 3.5 LBS
604407,THANK YOU BUTTERMINT CRMS
